id;tipo_dato;riferimento_testo;riferimento_numero;riferimento_data
1;deploy;invoice mindshare;multi-byte;robust
2;Chief synd;bus Sports Harbors;JSON Small Steel Towe;protocol B
3;Rand;Bedfordshire Money Market Account;Manors;users Hand
4;Street;Cross-group white Buckinghamshire;streamline Planner Co;Tools Prac
5;Jamaica;compressing attitude-oriented niches;Investment Account;Louisiana 
6;Checking A;24/7 Fantastic parse;JBOD Utah Borders;Denar
7;quantifyin;Glens Bedfordshire compress;Gloves;District
8;Granite;Customer;Towels Gorgeous Plast;XML
9;Sleek bypa;Shoes Designer exploit;Bulgarian Lev Clothin;Configurat
10;Toys;transmit orchestrate EXE;cyan pixel;Plastic
