id;id_documento;d_oa_data;num_item;codice_commessa_convenzione;codice_cup;codice_cig
1;Egypt back-end lever;Director e;Hills;Avon;Handcrafted Gra;Courts
2;Markets RAM;JBOD syner;Credit Card Account ;withdrawal Practical Soft Shirt;alarm Frozen pu;Fort
3;Moldova Cotton;B2C Wooden;Handmade Rubber Bike;Intelligent Rubber Car Money Market Account SDD;Plastic Self-en;Malawi
4;Mexican Peso Mexican;Corporate ;GB;Pizza portals;Checking Accoun;connect
5;Buckinghamshire blue;Square;Internal integrated;coherent;Pula structure ;Shirt
6;Checking Account red;Wyoming So;Central Bacon mobile;Garden Facilitator;Jewelery;local
7;magnetic;deposit tr;Rubber;Central;override Distri;Intelligent Fre
8;Buckinghamshire Awes;withdrawal;User-friendly EXE;Investment Account;Kids;Alaska Bacon
9;generating;copy Sri L;optimize Investment ;Keyboard;override;engage
10;disintermediate;Cambridges;purple Mills Movies;Awesome Rubber Hat;Facilitator sal;Research
