id;id_documento;d_oa_data;num_item;codice_commessa_convenzione;codice_cup;codice_cig
1;Checking Account;Switchable;Mauritius Rupee micr;modular invoice;streamline soli;Alaska
2;robust Belize;Savings Ac;Keyboard calculating;object-oriented Saudi Arabia Zimbabwe Dollar;Auto Loan Accou;Intranet dedica
3;compress;azure;migration Rubber;Books feed;Dynamic;Connecticut inn
4;Internal;Central wi;Regional;port virtual;Lead;card
5;El Salvador Chair;Slovenia;Principal generating;Licensed Holy See (Vatican City State);payment Coordin;Innovative
6;Harbor;Ergonomic;parsing;niches Belize HTTP;Customer Statio;firmware target
7;SMTP Kansas Belaruss;payment Me;Metal Oklahoma;transmit;supply-chains P;olive Shoes dyn
8;Borders optical;white;Venezuela;Gorgeous Greens;interactive byp;Refined Wooden 
9;Intelligent Steel Tu;Sleek Gran;payment;Principal;Monaco Soft Reg;invoice
10;Officer Seychelles R;Kentucky c;card;Tasty Soft Bacon Quetzal toolset;Investment Acco;portals
