id;numero_linea;tipo_cessione_prestazione;d_l_descrizione;quantita;unita_misura;data_inizio_periodo;data_fine_periodo;prezzo_unitario;s_m_prezzo_totale;s_m_aliquota_iva;s_m_ritenuta;s_m_natura;s_m_riferimento_amministrazione
1;Home;Ru;index Liaison Games;Intranet ADP Direct;eyeballs v;Buckingham;front-end ;Extensions Gambia;Down-sized Handmade F;web-en;Aw;di;Granite infrastructu
2;unif;Ge;Grocery;Product Re-engineered;Garden;Tasty Wood;Center Sma;hard drive best-of-br;Egypt;deposi;Ne;ma;copy Future
3;circ;in;envisioneer;Montenegro New Jersey;Generic Fr;Cheese Buc;Tools;multi-byte Tools;SMTP projection;Functi;ca;SM;bluetooth SMTP
4;Solu;Fr;Incredible Concrete Car Corporate;Electronics;Steel SSL ;24/7 Legac;functional;Unbranded envisioneer;optical hack;Chips ;sy;gr;withdrawal
5;depo;az;copying 1080p superstructure;hacking Tuna Web;Garden pri;Bedfordshi;Auto Loan ;EXE system engine;IB 1080p bifurcated;Bermud;Sl;Be;extranet
6;digi;Ga;deposit reboot optical;dynamic optical back-;pixel bypa;Auto Loan ;Gloves Ref;fuchsia Fantastic;Bacon;Maurit;Be;ne;capacitor Fantastic 
7;feed;pa;Investment Account;FTP;Tasty Plas;deposit ne;SQL Soft C;Frozen Automotive;silver Fantastic Conc;e-busi;Tr;Be;Tasty Cotton Bike
8;Prac;La;cyan transmitting payment;Granite dedicated;reboot;withdrawal;Facilitato;uniform Garden;Awesome Concrete Shoe;Small;Gl;ha;monitor Integration 
9;inst;ro;calculate monitor;Handmade;Principal;Enterprise;override;Generic Cotton Car;Hills system Russian ;Cambri;Je;By;website Pennsylvania
10;Seam;JB;Gorgeous firewall cutting-edge;Graphic Interface;Cross-plat;Small Froz;Intelligen;Inverse;deploy JBOD;online;Ta;Ch;solid state Metal wi
